Date & time of file creation	10/15/2021 4:09 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.10.2021\empty_post_10.15.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.10.2021\empty_post_10.15.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
10/15/2021/4:10:01 PM	Flush	1013	0	28.655	25.02	7.4861571662799	28.6837	25.02	7.46633722452693	28.555	25.02	7.51671290981574	28.3425	25.02	7.55470113150894	27.69	25.02	7.59351518410852	27.6262	25.02	7.59103769138939	27.6612	25.02	7.60012183135951	27.5875	25.02	7.61168346404874	NA	NA	NA	NA	25.02	25.02	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:02 PM	Flush	1013	0	28.6575	25.01	7.48671042218001	28.6738	25.01	7.47597264244829	28.5575	25.01	7.51727179526261	28.345	25.01	7.55526701585178	27.6825	25.01	7.60069608394753	27.645	25.01	7.58004650754037	27.6575	25.01	7.60482599922897	27.5725	25.01	7.62464959257984	NA	NA	NA	NA	25.0138	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:03 PM	F1	1013	0	28.65	25.01	7.49249230357401	28.67	25.01	7.47845059161715	28.5437	25.01	7.52800957499433	28.3663	25.01	7.54122530389491	27.68	25.01	7.60317403311639	27.625	25.01	7.59491420255353	27.685	25.01	7.58582838893438	27.5825	25.01	7.61804172812955	NA	NA	NA	NA	25.01	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:04 PM	F1	1013	0	28.65	25.01	7.49249230357401	28.6513	25.01	7.49166632051773	28.5338	25.01	7.53461743944462	28.37	25.01	7.53792137166977	27.6875	25.01	7.59739215172239	27.6025	25.01	7.61060788062297	27.6775	25.01	7.59161027032838	27.5825	25.01	7.61804172812955	NA	NA	NA	NA	25.01	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:05 PM	F1	1013	0	28.6375	25.01	7.50157811719316	28.6525	25.01	7.49084033746144	28.5237	25.01	7.5420512869512	28.3762	25.01	7.53379145638833	27.69	25.01	7.59574018560982	27.5813	25.01	7.62630155869241	27.6575	25.01	7.60565198228525	27.5925	25.01	7.61143386367926	NA	NA	NA	NA	25.01	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:06 PM	F1	1013	0	28.6487	25.01	7.4933182866303	28.685	25.01	7.46853879494171	28.5263	25.01	7.54039932083863	28.3987	25.01	7.51809777831889	27.6837	25.01	7.60069608394753	27.6013	25.01	7.61143386367926	27.6625	25.01	7.60234805006011	27.5937	25.01	7.61060788062297	NA	NA	NA	NA	25.01	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:07 PM	F1	1013	0	28.6475	25.01	7.49414426968659	28.6813	25.01	7.47101674411057	28.53	25.01	7.53709538861348	28.3788	25.01	7.53213949027576	27.6988	25.01	7.58995830421581	27.6325	25.01	7.58913232115952	27.6762	25.01	7.59243625338467	27.5963	25.01	7.60812993145411	NA	NA	NA	NA	25.01	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:08 PM	F1	1013	0	28.64	25.02	7.49771879896914	28.6638	25.02	7.48037634993528	28.5362	25.02	7.53075203522409	28.3538	25.02	7.54726865335157	27.6913	25.02	7.59268935320214	27.6088	25.02	7.60425098589138	27.6675	25.02	7.59599267682764	27.5937	25.02	7.60838014042325	NA	NA	NA	NA	25.0162	25.02	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:09 PM	F1	1013	0	28.6275	25.02	7.5051512771265	28.6913	25.02	7.46138223908868	28.5338	25.02	7.53157786613047	28.3813	25.02	7.5274487115986	27.6925	25.02	7.59186352229577	27.6088	25.02	7.603425154985	27.6725	25.02	7.59186352229577	27.5837	25.02	7.61498678767424	NA	NA	NA	NA	25.02	25.02	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:10 PM	F1	1013	0	28.645	25.02	7.49358964443727	28.6975	25.02	7.45642725365044	28.5362	25.02	7.52992620431772	28.375	25.02	7.53157786613047	27.6813	25.02	7.59929600045313	27.6075	25.02	7.60425098589138	27.6612	25.02	7.60012183135951	27.58	25.02	7.61746428039336	NA	NA	NA	NA	25.02	25.02	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:11 PM	F1	1013	0	28.6412	25.02	7.49606713715639	28.69	25.02	7.46220806999506	28.5275	25.02	7.53653285156871	28.3538	25.02	7.5464428224452	27.67	25.02	7.60755430951687	27.625	25.02	7.59186352229577	27.675	25.02	7.59021186048302	27.58	25.02	7.61746428039336	NA	NA	NA	NA	25.02	25.02	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:12 PM	F1	1013	0	28.6425	25.02	7.49524130625002	28.6837	25.02	7.46633722452693	28.5263	25.02	7.53735868247509	28.375	25.02	7.53157786613047	27.6775	25.02	7.60177349317225	27.6025	25.02	7.60838014042325	27.675	25.02	7.59021186048302	27.58	25.02	7.61746428039336	NA	NA	NA	NA	25.02	25.02	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:13 PM	F1	1013	0	28.6313	25.02	7.50267378440738	28.6675	25.02	7.47789885721616	28.5362	25.02	7.52992620431772	28.3775	25.02	7.52992620431772	27.68	25.02	7.60012183135951	27.6025	25.02	7.60838014042325	27.6638	25.02	7.59847016954676	27.5738	25.02	7.62159343492523	NA	NA	NA	NA	25.02	25.02	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:14 PM	F1	1013	0	28.635	25.02	7.50019629168826	28.675	25.02	7.47211804087154	28.555	25.02	7.51671290981574	28.355	25.02	7.54561699153883	27.6875	25.02	7.59516684592126	27.6025	25.02	7.60838014042325	27.66	25.02	7.60094766226588	27.585	25.02	7.61416095676786	NA	NA	NA	NA	25.02	25.02	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:15 PM	F1	1013	0	28.6337	25.02	7.50102212259463	28.6925	25.02	7.46055640818231	28.5475	25.02	7.52249372616036	28.35	25.02	7.54892031516432	27.6837	25.02	7.59764433864039	27.6125	25.02	7.60094766226588	27.66	25.02	7.60094766226588	27.5837	25.02	7.61498678767424	NA	NA	NA	NA	25.02	25.02	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:16 PM	F1	1013	0	28.6363	25.01	7.50157811719316	28.6875	25.01	7.46606084577285	28.54	25.01	7.5296615411069	28.3687	25.01	7.53874735472605	27.6738	25.01	7.60730394839783	27.62	25.01	7.59821813477867	27.66	25.01	7.60317403311639	27.58	25.01	7.61969369424212	NA	NA	NA	NA	25.0138	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:17 PM	F1	1013	0	28.64	25.01	7.49992615108059	28.6738	25.01	7.47597264244829	28.54	25.01	7.53048752416319	28.3738	25.01	7.53544342250091	27.6825	25.01	7.60152206700382	27.6137	25.01	7.60317403311639	27.6725	25.01	7.59491420255353	27.5738	25.01	7.62464959257984	NA	NA	NA	NA	25.01	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:18 PM	F1	1013	0	28.64	25.01	7.49992615108059	28.6762	25.01	7.47432067633571	28.54	25.01	7.53048752416319	28.3637	25.01	7.54287727000748	27.69	25.01	7.59574018560982	27.6225	25.01	7.5965661686661	27.6612	25.01	7.60317403311639	27.5637	25.01	7.63125745703013	NA	NA	NA	NA	25.01	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:19 PM	F1	1013	0	28.6337	25.01	7.50405606636202	28.6738	25.01	7.47597264244829	28.54	25.01	7.53048752416319	28.3912	25.01	7.52305367665661	27.69	25.01	7.59574018560982	27.63	25.01	7.59161027032838	27.6562	25.01	7.60647796534154	27.5787	25.01	7.62134566035469	NA	NA	NA	NA	25.01	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:20 PM	F1	1013	0	28.63	25.01	7.50653401553088	28.67	25.01	7.47845059161715	28.5338	25.01	7.53461743944462	28.3725	25.01	7.53626940555719	27.6837	25.01	7.60069608394753	27.6175	25.01	7.59987010089125	27.6412	25.01	7.61721574507326	27.5775	25.01	7.62217164341098	NA	NA	NA	NA	25.01	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:21 PM	F1	1013	0	28.6425	25.01	7.49827418496802	28.6638	25.01	7.48340648995486	28.5362	25.01	7.53296547333205	28.3687	25.01	7.53874735472605	27.68	25.01	7.60317403311639	27.6038	25.01	7.60978189756668	27.655	25.01	7.60730394839783	27.5512	25.01	7.64034327064928	NA	NA	NA	NA	25.01	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:22 PM	F1	1013	0	28.6438	25.02	7.49441547534364	28.6725	25.02	7.47459553359067	28.54	25.02	7.52827454250497	28.3863	25.02	7.5241453879731	27.695	25.02	7.59021186048302	27.615	25.02	7.59929600045313	27.6775	25.02	7.58938602957665	27.5775	25.02	7.61994177311248	NA	NA	NA	NA	25.0162	25.02	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:23 PM	F1	1013	0	28.64	25.02	7.49689296806276	28.68	25.02	7.46881471724605	28.54	25.02	7.5274487115986	28.3825	25.02	7.52662288069223	27.7	25.02	7.58608270595115	27.6137	25.02	7.60012183135951	27.6738	25.02	7.59103769138939	27.5712	25.02	7.62324509673798	NA	NA	NA	NA	25.02	25.02	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:24 PM	F1	1013	0	28.6337	25.02	7.50102212259463	28.6612	25.02	7.48202801174803	28.5525	25.02	7.51836457162849	28.355	25.02	7.54561699153883	27.7	25.02	7.58608270595115	27.61	25.02	7.60259932407863	27.6575	25.02	7.60259932407863	27.585	25.02	7.61416095676786	NA	NA	NA	NA	25.02	25.02	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:25 PM	F1	1013	0	28.6425	25.01	7.49744820191173	28.675	25.01	7.47432067633571	28.5475	25.01	7.52470564276918	28.3525	25.01	7.55031111751406	27.675	25.01	7.60647796534154	27.6163	25.01	7.60069608394753	27.6687	25.01	7.59739215172239	27.5937	25.01	7.60978189756668	NA	NA	NA	NA	25.0138	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:26 PM	F1	1013	0	28.6313	25.01	7.5057080324746	28.6713	25.01	7.47762460856086	28.54	25.01	7.53048752416319	28.385	25.01	7.52800957499433	27.6788	25.01	7.60400001617268	27.6137	25.01	7.60317403311639	27.6738	25.01	7.59408821949724	27.6025	25.01	7.60400001617268	NA	NA	NA	NA	25.01	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:27 PM	F1	1013	0	28.6325	25.01	7.50488204941831	28.6913	25.01	7.46440887966028	28.5213	25.01	7.54370325306377	28.3875	25.01	7.52553162582547	27.69	25.01	7.59574018560982	27.6163	25.01	7.60069608394753	27.6762	25.01	7.59243625338467	27.5975	25.01	7.60730394839783	NA	NA	NA	NA	25.01	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:28 PM	F1	1013	0	28.64	25.01	7.49992615108059	28.65	25.01	7.49249230357401	28.525	25.01	7.54122530389491	28.41	25.01	7.50983794775603	27.6975	25.01	7.5907842872721	27.6125	25.01	7.60400001617268	27.6725	25.01	7.59491420255353	27.575	25.01	7.62382360952355	NA	NA	NA	NA	25.01	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:29 PM	F1	1013	0	28.64	25.01	7.49992615108059	28.6425	25.01	7.49827418496802	28.5237	25.01	7.5420512869512	28.3825	25.01	7.5296615411069	27.6875	25.01	7.59739215172239	27.61	25.01	7.60565198228525	27.6887	25.01	7.58335043976552	27.5762	25.01	7.62299762646727	NA	NA	NA	NA	25.01	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:30 PM	F1	1013	0	28.6475	25.01	7.49414426968659	28.65	25.01	7.49249230357401	28.535	25.01	7.53379145638833	28.375	25.01	7.53461743944462	27.68	25.01	7.60317403311639	27.6325	25.01	7.58913232115952	27.6925	25.01	7.58087249059666	27.58	25.01	7.61969369424212	NA	NA	NA	NA	25.01	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:31 PM	F1	1013	0	28.6438	25.01	7.49744820191173	28.6562	25.01	7.48836238829258	28.5275	25.01	7.53957333778234	28.3613	25.01	7.54452923612006	27.6863	25.01	7.59821813477867	27.6212	25.01	7.59739215172239	27.69	25.01	7.58252445670923	27.5862	25.01	7.61556377896069	NA	NA	NA	NA	25.01	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
